2022-08-11 15:29:01,021 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | nMS9G6--AQGfOHkjNXmrwQqYUfReTzGWr0cVoceA6z4 | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 15:36:44,413 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN | MODIFY |  | JSON Web Tokens
2022-08-11 15:37:16,647 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-11 15:37:33,238 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-11 15:39:59,811 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 15:40:05,109 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | l8OhY4BjWesEE3hiFW4c4WmmvhppA-RgdjELa0-a-U0 | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 15:41:37,904 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | IDP_CONNECTION | MODIFY |  | localhost:default:entityId
2022-08-11 15:41:58,187 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | IDP_CONNECTION | MODIFY |  | localhost:default:entityId
2022-08-11 15:42:53,878 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 15:43:00,360 | Administrator |  | 127.0.0.1 |  | USER | LOGIN_ATTEMPT |  | Incorrect password
2022-08-11 15:43:04,375 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | cWtylIy4vXYpD0QkDjGkv8gKx-EKdw_vwh0uaCPDyx8 | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 15:43:47,412 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | IDP_ADAPTER | MODIFY |  | HTMLFormSimplePCV
2022-08-11 15:44:49,464 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-11 15:46:35,356 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 15:46:51,499 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | xcbDxmj15Yb__J74yczmKTw86yYNKJJcNb9LyNJxnms | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 15:50:23,799 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 15:50:31,450 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | dWCbzzOeIgPhZTCz2Xd-j7qvM18JyKmxYEQwosmoYxY | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 15:54:18,296 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN | MODIFY |  | JSON Web Tokens
2022-08-11 16:00:14,576 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 16:00:23,949 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | yMMA9QNNIn341Oy59VIrFcEath5sruBUzNMq-zJ7HvE | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 16:01:42,353 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN | MODIFY |  | JSON Web Tokens
2022-08-11 16:02:56,718 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-11 16:03:04,273 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-11 16:04:57,469 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 16:05:02,719 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | Y8TC3z-NKZ8fz9zZC8N03iSlNFuIKFT-_ndIfLPsifo | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 16:05:36,348 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | IDP_CONNECTION | MODIFY |  | localhost:default:entityId
2022-08-11 16:06:57,599 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 16:07:08,583 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | xpvXJHZScsgm40OZVu75NqTQ8-Ye-WTYf3AvzHHZ1wk | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 16:08:20,085 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | OAUTH_ACCESS_TOKEN_MAPPING | MODIFY |  | 
2022-08-11 16:09:53,020 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | IDP_CONNECTION | MODIFY |  | localhost:default:entityId
2022-08-11 16:11:09,846 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 |  | USER | LOGOUT |  | 
2022-08-11 16:11:16,190 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | El-MXeDyQU7pf4WHVYAFgtiMI1TpAW7OUfP_fdb0gT0 | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 16:59:12,514 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin |  | El-MXeDyQU7pf4WHVYAFgtiMI1TpAW7OUfP_fdb0gT0 | USER | SESSION_TIMEOUT |  | Session timed out at 2022-08-11 16:53:49,636
2022-08-11 17:21:52,416 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin | 127.0.0.1 | WcABaYyiTUO5OvEUQZWXg1xDFrbgVxLzlqdVoaFeYuM | USER | LOGIN_ATTEMPT |  | Login was successful
2022-08-11 18:06:43,729 | Administrator | UserAdmin,Admin,CryptoAdmin,ExpressionAdmin |  | WcABaYyiTUO5OvEUQZWXg1xDFrbgVxLzlqdVoaFeYuM | USER | SESSION_TIMEOUT |  | Session timed out at 2022-08-11 17:52:04,384
